Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1939,-16.6,-10.7,-6.3,4.6,10.5,18.4,18.6,13.4,7.9,0.8,-5.5,-10.2,2.1
1940,-25,-15,-7,6,7,16.9,19.8,18.3,12.2,-2.3,-4.5,-15.8,0.9
1941,-18.9,-17.8,-7,-1.3,8,16,16.1,15,9.9,0.7,-12.6,-17.1,-0.8
1942,-18.9,-13.8,-12.2,0.4,9.9,17.8,18,15.3,8.6,1.5,-5.8,-12.8,0.7
1943,-21.9,-13.3,-7.6,5.1,15.1,14.7,18.4,16.5,9.3,1.3,-8.2,-11.8,1.5
1944,-13.6,-13.1,-3.4,4.3,11.4,17.4,16.5,15,11.1,3.3,-11.4,-13,2
1945,-20,-17.8,-10.1,2.5,7.8,16.9,16.1,17.9,9.9,1.5,-9.2,-21.3,-0.5
1946,-14.6,-11.1,-8.9,2.7,9.7,14.1,18,15.5,8.4,-0.3,-6.7,-16.9,0.8
1947,-18.6,-17.1,-5.9,5.4,8.8,14,15.9,15.5,9.8,4,-2.7,-18.3,0.9
1948,-11.3,-14.3,-8.5,1,14.1,17.6,17.5,15.2,10.4,3.8,-4.6,-17.7,1.9
1949,-8.6,-14.8,-9.3,2.9,10.7,17.3,16.5,19,6.6,1.2,-7.5,-15.9,1.5
1950,-24.4,-14.2,-6.4,4.8,10.2,15.1,17.9,14.9,11,2.6,-12.2,-10,0.8
1951,-16.5,-22.3,-4.4,9.2,9.6,16,19.8,16.4,11.6,0.7,-9.1,-8.6,1.9
1952,-14,-15.4,-10.6,-1.3,12.2,16.8,20,15.7,12.3,-0.2,-15.1,-13.4,0.6
1953,-15.3,-17.8,-8,6.5,11.6,14,19.2,18.1,10.3,0,-17.9,-12.5,0.7
1954,-20.2,-23.7,-8.6,2.7,9.3,16,19.3,13.9,11.8,4.5,-7.1,-15.3,0.2
1955,-12,-17.7,-10.7,2.6,13.8,17.5,16.8,14,8.2,4.3,-7.5,-24.1,0.4
1956,-20.9,-21.1,-10,1,11.4,16.3,16.8,15,5.8,2.5,-8.5,-12.2,-0.3
1957,-18.6,-13.4,-13.3,0.2,14.4,18.2,18.2,16.5,14.6,1.3,-8.7,-9.2,1.7
1958,-14.5,-10.7,-11.8,2.1,9.2,18,17.6,18,5.5,2.7,-5,-16,1.3
1959,-13.4,-15.6,-6.8,0.5,12.8,15.6,17.8,13.7,9.2,-1.1,-7.6,-15.7,0.8
1960,-18.6,-12.8,-14.3,4.3,7,17.1,15.5,13.4,10.2,-0.5,-10.7,-12.8,-0.2
1961,-14,-12.1,-3.7,2.6,11.5,15.9,18.6,15.2,8.8,-0.6,-8,-10,2
1962,-12.2,-8.8,-5,4.8,14.9,14.7,20.4,13.8,9.4,1,-5.8,-13,2.9
1963,-17.1,-10.6,-11.6,2.4,10.4,17.1,19.2,14.5,9.3,2.8,-4.2,-12.8,1.6
1964,-17.3,-19.2,-11.6,-0.8,11.6,15.7,19,15.2,9.7,0.4,-6.5,-10.3,0.5
1965,-16.2,-15.4,-5,1.7,13.3,17.3,19.5,13.4,10,1.1,-12.2,-11.5,1.3
1966,-18.3,-19.4,-7.6,3.9,10.5,14,20.6,15.9,11.4,-0.8,-5.6,-23.8,0.1
1967,-17.3,-16.8,-5.2,8.4,10.9,14.6,19.4,15.8,7.7,5.1,-2.3,-10.3,2.5
1968,-17.2,-12,-4.6,1,11.8,13.6,17.4,15.2,6.8,0.2,-12,-22.4,-0.2
1969,-27.8,-21.2,-11.4,2.2,5.2,13.1,19,13.3,8.9,-2.5,-3.9,-16.2,-1.8
1970,-18.3,-12.2,-4.5,2.4,9.5,14.2,17.1,14.2,12.5,1.6,-9.1,-15.4,1
1971,-11.6,-20,-9.8,1.7,8.6,15.7,18.9,13.3,12.2,1.5,-1.3,-10.3,1.6
1972,-27.3,-14.4,-10.7,4.2,9.4,14.5,16.2,15.4,6.1,2.7,-6.3,-12.1,-0.2
1973,-22.9,-13.4,-5.2,5.6,11.8,17.4,15.1,15.4,6.3,0.8,-4.8,-8.9,1.4
1974,-21.8,-18.2,-4.4,5.3,11.8,15.7,20.7,14.6,11.9,4.2,-10.6,-12.8,1.4
1975,-13,-14.1,-2.8,7.2,9.6,16.1,18.4,14.3,11.5,-0.7,-7.7,-13.4,2.1
1976,-13.3,-19.6,-8.7,5.5,10.9,17.8,16.2,16.8,8.8,-6.1,-10,-15.7,0.2
1977,-21.4,-19,-4.6,7.5,13.8,18.2,19.1,13.8,9.3,-1.5,-5.2,-16,1.2
1978,-11.9,-14,-3.1,2.7,10,16,16.9,12.5,9.9,1.9,-5.4,-18.8,1.4
1979,-19.6,-14,-4.9,-2,11.4,11.1,18.8,14.7,10.7,-0.2,-5.7,-10.8,0.8
1980,-19.4,-17,-8.7,1.6,13.2,14.8,16.7,12.7,9.7,2.5,-7.3,-9.9,0.7
1981,-12.9,-10.6,-7.5,1.6,8.3,18.4,18.5,19.7,9.8,4.5,-5.8,-10.1,2.8
1982,-17.5,-15.9,-10.8,6.5,11.7,16.6,17.9,15.5,10.6,-0.3,-4.3,-8.7,1.8
1983,-10.3,-9.4,-5.7,6.2,6.6,17.6,20.2,15.1,8,4.1,-6,-7.7,3.2
1984,-12.8,-14.2,-3.6,-0.2,11,16.4,18.9,15.5,8.2,1.3,-15.1,-19.9,0.5
1985,-14.2,-18.3,-5.3,3.6,8,16.4,16.6,16.3,10.6,0.4,-9.7,-12.9,1
1986,-15.5,-16.3,-5.1,7.3,7.2,14.8,16.2,13.8,8.2,1.7,-5.5,-19.8,0.6
1987,-18.9,-10.8,-8.6,0.6,13.9,18.4,19.6,16,9,1.4,-13.1,-13.2,1.2
1988,-14.8,-13.8,-4,4.9,9.6,17.9,21.2,17.2,10.1,2.9,-6.9,-11.5,2.7
1989,-18.2,-12.8,-2.1,-0.3,11.8,20.2,22.3,14.4,9.1,2.3,-5,-12,2.5
1990,-15.7,-10.2,-2.5,5.4,9.8,18.4,19.7,16.2,9.2,1.2,-5.4,-11.2,2.9
1991,-13.6,-14,-10.1,8.4,15.2,21,18.4,13.8,11.6,6.2,-5,-17,2.9
1992,-12.7,-10.7,-5.7,0.4,10.3,12.9,17.3,13.6,8.6,1.9,-6,-11.1,1.6
1993,-10.4,-14.4,-7.5,2,9.8,18.5,19.2,16.3,6.8,1.7,-14.8,-12.4,1.2
1994,-13.4,-20.9,-7.5,4.2,11.6,18.6,16.4,15.6,10.1,6.2,-7.6,-15.7,1.5
1995,-12.8,-5.8,-1.8,9.7,12.3,15.7,19.7,16.7,10.9,3.7,-4.6,-14,4.1
1996,-16.5,-14.9,-7.4,-0.2,11,19.3,19.2,12.6,7.1,1.4,-4.1,-11.8,1.3
1997,-19.9,-11.3,-2.2,7.1,12.4,16.3,15.5,14.4,11.8,6.6,-9.1,-18.1,2
1998,-15.1,-16.3,-5.4,-2,11.7,18.2,22.4,17.9,7.5,3.2,-15.8,-9.2,1.4
1999,-14.8,-9,-11.4,2.9,10.2,14.2,19.7,15,8.7,6.5,-10.1,-7.8,2
2000,-15.1,-10.1,-2.9,7,9.6,18.9,19.6,15.3,8.9,1.7,-9.8,-14.7,2.4
2001,-16.5,-18,-4.4,5.2,14,14.6,17,16,10.6,0.7,-5.6,-14.9,1.6
2002,-11.1,-6.2,-2.2,1.3,9.9,14.4,17.6,13,10.7,2,-4.9,-19.5,2.1
2003,-12.4,-15.5,-5.4,3.9,13.9,16.3,18.1,20.6,11.1,4.1,-8.5,-6.4,3.3
2004,-12.4,-10.7,-5.8,-0.9,15.8,17.8,20.9,15.1,9.8,2,-2.8,-16.6,2.7
2005,-13.7,-16.2,-5.5,5,13.5,17.3,18.6,15.9,10.6,4.5,-1.8,-10.9,3.1
2006,-24.7,-13,-3.1,1.8,11.8,19.2,16.4,14.4,11.3,2.3,-7.8,-7.3,1.8
2007,-7.6,-16.8,-3.7,6.7,10.9,14.9,20.6,17.4,10.5,4.7,-6.4,-12,3.3
2008,-16.4,-10,-2.5,3.8,11.4,16.5,20.9,15.8,7.1,5.6,0.6,-8.5,3.7
2009,-15.1,-14.8,-2.9,2.7,11.5,17,17.4,16.2,11.8,4.1,-5.7,-18.2,2
2010,-23.7,-19,-6.4,6.4,13,17.1,18.3,17.8,10,3.4,-4.1,-16.1,1.4
2011,-17.3,-16.5,-6.8,6,11.8,17.4,18.1,14.9,12.4,4.9,-9,-12.1,2
2012,-16.5,-15.7,-6,7.9,13,20.1,21.3,17.6,10.8,5.2,-5.2,-19.9,2.7
2013,-17.1,-9.5,-9.1,4.7,9.8,17.3,19.2,17.1,10.2,1.9,0.7,-9.5,3
2014,-15.6,-16.6,-1.4,2.5,12.9,16.6,14.6,18.1,8.3,-1.6,-7.2,-10.3,1.7
2015,-14.3,-8.2,-3.8,5.7,13.4,20,16.4,13.1,10.5,0.5,-8.3,-8.4,3.1
2016,-18.2,-6.3,-4.1,8.6,12.2,17.2,19.8,21.2,11.7,0.6,-12,-17.6,2.8
2017,-16.3,-13.6,-2.5,5.7,10.3,16.9,17.7,17,8.7,1.1,-3.6,-10.6,2.6
2018,-16.9,-12.9,-8.1,2.4,8.2,15,20.6,15.5,11.6,4.2,-6.2,-14.1,1.6
2019,-13.6,-14.3,-1.9,3.3,12.9,15.1,19.7,15.6,999.9,999.9,999.9,999.9,999.9
