28.8	  11.5357
28.9	  11.5317
29	  11.5276
29.1	  11.5235
29.2	  11.5195
29.3	  11.5154
29.4	  11.5114
29.5	  11.5073
29.6	  11.5032
29.7	  11.4992
29.8	  11.4951
29.9	  11.491
30	  11.487
30.1	  11.4829
30.2	  11.4789
30.3	  11.4748
30.4	  11.4707
30.5	  11.4667
30.6	  11.4626
30.7	  11.4586
30.8	  11.4545
30.9	  11.4504
31	  11.4464
31.1	  11.4423
31.2	  11.4382
31.3	  11.4342
31.4	  11.4301
31.5	  11.4261
31.6	  11.422
31.7	  11.4179
31.8	  11.4139
31.9	  11.4098
32	  11.4058
32.1	  11.4017
32.2	  11.3976
32.3	  11.3936
32.4	  11.3895
32.5	  11.3854
32.6	  11.3814
32.7	  11.3773
32.8	  11.3733
32.9	  11.3692
33	  11.3651
33.1	  11.3611
33.2	  11.357
33.3	  11.353
33.4	  11.3489
33.5	  11.3448
33.6	  11.3408
33.7	  11.3367
33.8	  11.3327
33.9	  11.3286
34	  11.3245
34.1	  11.3205
34.2	  11.3164
34.3	  11.3123
34.4	  11.3083
34.5	  11.3042
34.6	  11.3002
34.7	  11.2961
34.8	  11.292
34.9	  11.288
35	  11.2839
35.1	  11.2799
35.2	  11.2758
35.3	  11.2717
35.4	  11.2677
35.5	  11.2636
35.6	  11.2595
35.7	  11.2555
35.8	  11.2514
35.9	  11.2474
36	  11.2433
36.1	  11.2392
36.2	  11.2352
36.3	  11.2311
36.4	  11.2271
36.5	  11.223
36.6	  11.2189
36.7	  11.2149
36.8	  11.2108
36.9	  11.2067
37	  11.2027
37.1	  11.1986
37.2	  11.1946
37.3	  11.1905
37.4	  11.1864
37.5	  11.1824
37.6	  11.1783
37.7	  11.1743
37.8	  11.1702
37.9	  11.1661
38	  11.1621
38.1	  11.158
38.2	  11.1539
38.3	  11.1499
38.4	  11.1458
38.5	  11.1418
38.6	  11.1377
38.7	  11.1336
38.8	  11.1296
38.9	  11.1255
39	  11.1215
39.1	  11.1174
39.2	  11.1133
39.3	  11.1093
39.4	  11.1052
39.5	  11.1011
39.6	  11.0971
39.7	  11.093
39.8	  11.089
39.9	  11.0849
40	  11.0808
40.1	  11.0768
40.2	  11.0727
40.3	  11.0687
40.4	  11.0646
40.5	  11.0605
40.6	  11.0565
40.7	  11.0524
40.8	  11.0483
40.9	  11.0443
41	  11.0402
41.1	  11.0362
41.2	  11.0321
41.3	  11.028
41.4	  11.024
41.5	  11.0199
41.6	  11.0159
41.7	  11.0118
41.8	  11.0077
41.9	  11.0037
42	  10.9996
42.1	  10.9955
42.2	  10.9915
42.3	  10.9874
42.4	  10.9834
42.5	  10.9793
42.6	  10.9752
42.7	  10.9712
42.8	  10.9671
42.9	  10.9631
43	  10.959
43.1	  10.9549
43.2	  10.9509
43.3	  10.9468
43.4	  10.9428
43.5	  10.9387
43.6	  10.9346
43.7	  10.9306
43.8	  10.9265
43.9	  10.9224
44	  10.9184
44.1	  10.9143
44.2	  10.9103
44.3	  10.9062
44.4	  10.9021
44.5	  10.8981
44.6	  10.894
44.7	  10.89
44.8	  10.8859
44.9	  10.8818
45	  10.8778
45.1	  10.8737
45.2	  10.8696
45.3	  10.8656
45.4	  10.8615
45.5	  10.8575
45.6	  10.8534
45.7	  10.8493
45.8	  10.8453
45.9	  10.8412
46	  10.8372
46.1	  10.8331
46.2	  10.829
46.3	  10.825
46.4	  10.8209
46.5	  10.8168
46.6	  10.8128
46.7	  10.8087
46.8	  10.8047
46.9	  10.8006
47	  10.7965
47.1	  10.7925
47.2	  10.7884
47.3	  10.7844
47.4	  10.7803
47.5	  10.7762
47.6	  10.7722
47.7	  10.7681
47.8	  10.764
47.9	  10.76
48	  10.7559
48.1	  10.7519
48.2	  10.7478
48.3	  10.7437
48.4	  10.7397
48.5	  10.7356
48.6	  10.7316
48.7	  10.7275
48.8	  10.7234
48.9	  10.7194
49	  10.7153
49.1	  10.7112
49.2	  10.7072
49.3	  10.7031
49.4	  10.6991
49.5	  10.695
49.6	  10.6909
49.7	  10.6869
49.8	  10.6828
49.9	  10.6788
50	  10.6747
50.1	  10.6706
50.2	  10.6666
50.3	  10.6625
50.4	  10.6584
50.5	  10.6544
50.6	  10.6503
50.7	  10.6463
50.8	  10.6422
50.9	  10.6381
51	  10.6341
51.1	  10.63
51.2	  10.626
51.3	  10.6219
51.4	  10.6178
51.5	  10.6138
51.6	  10.6097
51.7	  10.6056
51.8	  10.6016
51.9	  10.5975
52	  10.5935
52.1	  10.5894
52.2	  10.5853
52.3	  10.5813
52.4	  10.5772
52.5	  10.5732
52.6	  10.5691
52.7	  10.565
52.8	  10.561
52.9	  10.5569
53	  10.5528
53.1	  10.5488
53.2	  10.5447
